journal_title,issn_print,issn_online,source,area,rank,active_status,source_type,best_rank,area_group,major_group
4OR ,1619-4500,1614-2411,ABDC,"Other commerce, management, tourism and services",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scimago,Computational Theory and Mathematics,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
4OR ,1619-4500,1614-2411,Scimago,Management Information Systems,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scimago,Management Science and Operations Research,Q2,,,Q1,Decision Sciences,"Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scimago,Theoretical Computer Science,Q2,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
4OR ,1619-4500,1614-2411,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
4OR ,1619-4500,1614-2411,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
AACE International Transactions,1528-7106,1528-7106,ABDC,"Other commerce, management, tourism and services",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Information Systems,1046-8188,1558-2868,ABDC,Information systems,C ,,,,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Information Systems,1046-8188,1558-2868,AJG,Knowledge Management,,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
ACM Transactions on Information Systems,1046-8188,1558-2868,AJG,Management Information Systems,,,,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scimago,Computer Science Applications,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scimago,Information Systems,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,ABDC,"Other commerce, management, tourism and services",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,AJG,Knowledge Management,3,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,AJG,Management Information Systems,3,,,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Scimago,Computer Science Applications,Q3,,,Q2,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Scimago,Modeling and Simulation,Q2,,,Q2,Mathematics,"Tech, Data & Quantitative Methods"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
AIMS International Journal of Management,1939-7011,,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
AIS Educator Journal,1935-8156,,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
AIS Transactions on Human-Computer Interaction,1944-3900,,ABDC,Information systems,A,,,,Computer Science,"Tech, Data & Quantitative Methods"
AIS Transactions on Human-Computer Interaction,1944-3900,,AJG,Knowledge Management,2,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
AIS Transactions on Human-Computer Interaction,1944-3900,,AJG,Management Information Systems,2,,,,"Business, Management and Accounting","Business, Economics & Management"
AIS Transactions on Human-Computer Interaction,1944-3900,,Scimago,Computer Networks and Communications,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
AIS Transactions on Human-Computer Interaction,1944-3900,,Scimago,Computer Science Applications,Q2,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
AIS Transactions on Human-Computer Interaction,1944-3900,,Scimago,Human-Computer Interaction,Q2,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
AIS Transactions on Human-Computer Interaction,1944-3900,,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
ALI - ABA Business Law Course Materials Journal,1536-4445,,ABDC,Commercial law,C ,,,,Social Sciences,Social Sciences & Humanities
AMS Review,1869-814X,1869-8182,ABDC,Marketing,B,,,,"Business, Management and Accounting","Business, Economics & Management"
AMS Review,1869-814X,1869-8182,Scimago,Marketing,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
AMS Review,1869-814X,1869-8182,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
ASEAN Journal on Hospitality and Tourism,1412-2073,,ABDC,Tourism,C,,,,"Business, Management and Accounting","Business, Economics & Management"
ASOR Bulletin,0812-860X,1446-6678,ABDC,"Transportation, logistics and supply chains",C ,,,,Social Sciences,Social Sciences & Humanities
ASTIN Bulletin,0515-0361,1783-1350,ABDC,"Banking, finance and investment",A* ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
ASTIN Bulletin,0515-0361,1783-1350,AJG,Finance & Accounting,2,,,,"Business, Management and Accounting","Business, Economics & Management"
ASTIN Bulletin,0515-0361,1783-1350,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
ASTIN Bulletin,0515-0361,1783-1350,Scimago,Economics and Econometrics,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
ASTIN Bulletin,0515-0361,1783-1350,Scimago,Finance,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
ASTIN Bulletin,0515-0361,1783-1350,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
ASTIN Bulletin,0515-0361,1783-1350,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,ABDC,Statistics,C ,,,,Mathematics,"Tech, Data & Quantitative Methods"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scimago,Analysis,Q2,,,Q1,Mathematics,"Tech, Data & Quantitative Methods"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scimago,Applied Mathematics,Q2,,,Q1,Mathematics,"Tech, Data & Quantitative Methods"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scimago,Economics and Econometrics,Q2,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scimago,Modeling and Simulation,Q2,,,Q1,Mathematics,"Tech, Data & Quantitative Methods"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scimago,Social Sciences (miscellaneous),Q1,,,Q1,Social Sciences,Social Sciences & Humanities
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scimago,Statistics and Probability,Q2,,,Q1,Mathematics,"Tech, Data & Quantitative Methods"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
AStA Advances in Statistical Analysis,1863-8171,1863-818X,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
ATA Journal of Legal Tax Research,1543-866X,,ABDC,Commercial law,C ,,,,Social Sciences,Social Sciences & Humanities
ATA Journal of Legal Tax Research,1543-866X,,Scimago,Accounting,Q4,,,Q4,"Business, Management and Accounting","Business, Economics & Management"
ATA Journal of Legal Tax Research,1543-866X,,Scimago,Finance,Q4,,,Q4,"Economics, Econometrics and Finance","Business, Economics & Management"
ATA Journal of Legal Tax Research,1543-866X,,Scimago,Law,Q4,,,Q4,Social Sciences,Social Sciences & Humanities
ATA Journal of Legal Tax Research,1543-866X,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
ATA Journal of Legal Tax Research,1543-866X,,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
ATA Journal of Legal Tax Research,1543-866X,,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Abacus,0001-3072,1467-6281,ABDC,"Accounting, auditing and accountability",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Abacus,0001-3072,1467-6281,AJG,Finance & Accounting,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Abacus,0001-3072,1467-6281,Scimago,Accounting,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Abacus,0001-3072,1467-6281,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Academia Economic Papers,1018-161X,,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Academia Economic Papers,1018-161X,,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q4,,,Q4,"Economics, Econometrics and Finance","Business, Economics & Management"
Academia Economic Papers,1018-161X,,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Academy of Management Annals,1941-6520,1941-6067,ABDC,"Strategy, management and organisational behaviour",A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Annals,1941-6520,1941-6067,AJG,General & Strategy,4*,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Academy of Management Annals,1941-6520,1941-6067,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Annals,1941-6520,1941-6067,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Annals,1941-6520,1941-6067,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Discoveries,2168-1007,,ABDC,"Strategy, management and organisational behaviour",A*,,,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Discoveries,2168-1007,,AJG,General & Strategy,3,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Academy of Management Discoveries,2168-1007,,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Discoveries,2168-1007,,Scimago,Industrial Relations,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Discoveries,2168-1007,,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Discoveries,2168-1007,,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Discoveries,2168-1007,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Journal,0001-4273,1948-0989,ABDC,"Strategy, management and organisational behaviour",A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Journal,0001-4273,1948-0989,AJG,General & Strategy,4*,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Academy of Management Journal,0001-4273,1948-0989,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Journal,0001-4273,1948-0989,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Journal,0001-4273,1948-0989,Scimago,Management of Technology and Innovation,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Journal,0001-4273,1948-0989,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Journal,0001-4273,1948-0989,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Learning and Education,1537-260X,1944-9585,ABDC,"Strategy, management and organisational behaviour",A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Learning and Education,1537-260X,1944-9585,AJG,Education,4*,,,,Social Sciences,Social Sciences & Humanities
Academy of Management Learning and Education,1537-260X,1944-9585,Scimago,Education,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Academy of Management Learning and Education,1537-260X,1944-9585,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Learning and Education,1537-260X,1944-9585,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Learning and Education,1537-260X,1944-9585,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Academy of Management Perspectives,1558-9080,1943-4529,ABDC,"Strategy, management and organisational behaviour",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Perspectives,1558-9080,1943-4529,AJG,General & Strategy,4,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Academy of Management Perspectives,1558-9080,1943-4529,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Perspectives,1558-9080,1943-4529,Scimago,Marketing,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Perspectives,1558-9080,1943-4529,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Perspectives,1558-9080,1943-4529,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Review,0363-7425,1930-3807,ABDC,"Strategy, management and organisational behaviour",A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Review,0363-7425,1930-3807,AJG,General & Strategy,4*,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Academy of Management Review,0363-7425,1930-3807,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Review,0363-7425,1930-3807,Scimago,Management of Technology and Innovation,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Review,0363-7425,1930-3807,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Academy of Management Review,0363-7425,1930-3807,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Marketing Studies Journal,1095-6298,1528-2678,ABDC,Marketing,B,,,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Marketing Studies Journal,1095-6298,1528-2678,Scopus,"Business, Management and Accounting",,Inactive,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Academy of Marketing Studies Journal,1095-6298,1528-2678,Scopus,"Economics, Econometrics and Finance",,Inactive,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Accident Analysis and Prevention,0001-4575,1879-2057,ABDC,"Transportation, logistics and supply chains",A* ,,,,Social Sciences,Social Sciences & Humanities
Accident Analysis and Prevention,0001-4575,1879-2057,Scimago,Human Factors and Ergonomics,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Accident Analysis and Prevention,0001-4575,1879-2057,Scimago,Law,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Accident Analysis and Prevention,0001-4575,1879-2057,Scimago,"Public Health, Environmental and Occupational Health",Q1,,,Q1,Medicine,Healthcare & Medical Systems
Accident Analysis and Prevention,0001-4575,1879-2057,Scimago,"Safety, Risk, Reliability and Quality",Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
Accident Analysis and Prevention,0001-4575,1879-2057,Scimago,Transportation,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Accident Analysis and Prevention,0001-4575,1879-2057,Scopus,Engineering,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
Accident Analysis and Prevention,0001-4575,1879-2057,Scopus,Medicine,,Active,Journal,,Medicine,Healthcare & Medical Systems
Accident Analysis and Prevention,0001-4575,1879-2057,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Accountancy Business and the Public Interest,1745-7718,,ABDC,"Accounting, auditing and accountability",B,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting & Finance Journal / Revista Contabilidade & Finanças,1519-7077,1808-057X,ABDC,"Accounting, auditing and accountability",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting & Finance Journal / Revista Contabilidade & Finanças,1519-7077,1808-057X,Scimago,Accounting,Q4,,,Q4,"Business, Management and Accounting","Business, Economics & Management"
Accounting & Finance Journal / Revista Contabilidade & Finanças,1519-7077,1808-057X,Scimago,Finance,Q4,,,Q4,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting & Finance Journal / Revista Contabilidade & Finanças,1519-7077,1808-057X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting & Finance Journal / Revista Contabilidade & Finanças,1519-7077,1808-057X,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Accountability and Performance,1445-954X,,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Auditing and Accountability Journal,0951-3574,1758-4205,ABDC,"Accounting, auditing and accountability",A*,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Auditing and Accountability Journal,0951-3574,1758-4205,AJG,Finance & Accounting,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Auditing and Accountability Journal,0951-3574,1758-4205,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting Auditing and Accountability Journal,0951-3574,1758-4205,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Auditing and Accountability Journal,0951-3574,1758-4205,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Auditing and Accountability Journal,0951-3574,1758-4205,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Education,0963-9284,1468-4489,ABDC,"Accounting, auditing and accountability",A,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Education,0963-9284,1468-4489,AJG,Education,2,,,,Social Sciences,Social Sciences & Humanities
Accounting Education,0963-9284,1468-4489,Scimago,Accounting,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting Education,0963-9284,1468-4489,Scimago,Education,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Accounting Education,0963-9284,1468-4489,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Education,0963-9284,1468-4489,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Accounting Educators Journal,1041-0392,,ABDC,"Accounting, auditing and accountability",B,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Forum,0155-9982,1467-6303,ABDC,"Accounting, auditing and accountability",A,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Forum,0155-9982,1467-6303,AJG,Finance & Accounting,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Forum,0155-9982,1467-6303,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting Forum,0155-9982,1467-6303,Scimago,Finance,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Forum,0155-9982,1467-6303,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Forum,0155-9982,1467-6303,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Historians Journal,0148-4184,,ABDC,"Accounting, auditing and accountability",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Historians Journal,0148-4184,,AJG,Finance & Accounting,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Historians Journal,0148-4184,,Scimago,Accounting,Q3,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting Historians Journal,0148-4184,,Scimago,History,Q1,,,Q1,Arts and Humanities,Social Sciences & Humanities
Accounting Historians Journal,0148-4184,,Scopus,Arts and Humanities,,Active,Journal,,Arts and Humanities,Social Sciences & Humanities
Accounting Historians Journal,0148-4184,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting History,1032-3732,1749-3374,ABDC,"Accounting, auditing and accountability",A,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting History,1032-3732,1749-3374,AJG,Finance & Accounting,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting History,1032-3732,1749-3374,Scimago,Accounting,Q3,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting History,1032-3732,1749-3374,Scimago,History,Q1,,,Q1,Arts and Humanities,Social Sciences & Humanities
Accounting History,1032-3732,1749-3374,Scopus,Arts and Humanities,,Active,Journal,,Arts and Humanities,Social Sciences & Humanities
Accounting History,1032-3732,1749-3374,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting History Review,2155-2851,2155-286X,ABDC,"Accounting, auditing and accountability",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting History Review,2155-2851,2155-286X,AJG,Business History,2,,,,Arts and Humanities,Social Sciences & Humanities
Accounting History Review,2155-2851,2155-286X,Scimago,Accounting,Q4,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Accounting History Review,2155-2851,2155-286X,Scimago,"Business, Management and Accounting (miscellaneous)",Q4,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Accounting History Review,2155-2851,2155-286X,Scimago,History,Q2,,,Q2,Arts and Humanities,Social Sciences & Humanities
Accounting History Review,2155-2851,2155-286X,Scopus,Arts and Humanities,,Active,Journal,,Arts and Humanities,Social Sciences & Humanities
Accounting History Review,2155-2851,2155-286X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Horizons,0888-7993,1558-7975,ABDC,"Accounting, auditing and accountability",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Horizons,0888-7993,1558-7975,AJG,Finance & Accounting,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Horizons,0888-7993,1558-7975,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting Horizons,0888-7993,1558-7975,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Perspectives,1911-382X,1911-3838,ABDC,"Accounting, auditing and accountability",B,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Perspectives,1911-382X,1911-3838,Scimago,Accounting,Q3,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Accounting Perspectives,1911-382X,1911-3838,Scimago,Finance,Q2,,,Q2,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Perspectives,1911-382X,1911-3838,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Perspectives,1911-382X,1911-3838,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Research Journal,1030-9616,,ABDC,"Accounting, auditing and accountability",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Research Journal,1030-9616,,AJG,Finance & Accounting,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Research Journal,1030-9616,,Scimago,Accounting,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Accounting Research Journal,1030-9616,,Scimago,Finance,Q2,,,Q2,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Research Journal,1030-9616,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting Research Journal,1030-9616,,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting Theory and Practice,2949-9453,,ABDC,"Accounting, auditing and accountability",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Business Research,0001-4788,2159-4260,ABDC,"Accounting, auditing and accountability",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Business Research,0001-4788,2159-4260,AJG,Finance & Accounting,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Business Research,0001-4788,2159-4260,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Business Research,0001-4788,2159-4260,Scimago,Finance,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting and Business Research,0001-4788,2159-4260,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Finance,0810-5391,1467-629X,ABDC,"Accounting, auditing and accountability",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Finance,0810-5391,1467-629X,AJG,Finance & Accounting,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Finance,0810-5391,1467-629X,Scimago,Accounting,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Finance,0810-5391,1467-629X,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting and Finance,0810-5391,1467-629X,Scimago,Finance,Q2,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting and Finance,0810-5391,1467-629X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and Finance,0810-5391,1467-629X,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Accounting and Taxation,1944-592X,,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and the Public Interest,1530-9320,,ABDC,"Accounting, auditing and accountability",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting and the Public Interest,1530-9320,,Scimago,Accounting,Q4,,,Q4,"Business, Management and Accounting","Business, Economics & Management"
Accounting and the Public Interest,1530-9320,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting in Europe,1744-9480,1744-9499,ABDC,"Accounting, auditing and accountability",A,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting in Europe,1744-9480,1744-9499,AJG,Finance & Accounting,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Accounting in Europe,1744-9480,1744-9499,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting in Europe,1744-9480,1744-9499,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Accounting in Europe,1744-9480,1744-9499,Scimago,Finance,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
